Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Brzeszcze	71.21	56.23	43.77
Radzanowo	67.45	63.04	36.96
Gielniów	70.38	83.45	16.55
Sadowne	71.12	75.62	24.38
Pawłowiczki	48.68	50.99	49.01
Iwonicz-Zdrój	69.99	75.41	24.59
Leżajsk	65.01	85.19	14.81
Radomyśl nad Sanem	61.75	76.94	23.06
Niebylec	70.74	85.05	14.95
Olszanica	63.39	66.71	33.29
Solina	79.54	54.37	45.63
Chojnice	66.81	44.01	55.99
Starogard Gdański	64.49	50.35	49.65
Jędrzejów	67.24	64.01	35.99
Gowarczów	66.31	76.71	23.29
Kruklanki	72.83	39.97	60.03
Krobia	60.28	64.66	35.34
Ślesin	66.74	63.34	36.66
Bolesławiec	65.82	41.69	58.31
Kłodzko	60.29	56.27	43.73
Lądek-Zdrój	62.82	46.93	53.07
Lubin	66.64	53.96	46.04
Lwówek Śląski	60.75	47.52	52.48
Trzebnica	69.08	49.35	50.65
Jelenia Góra	66.96	35.61	64.39
Gniewkowo	61.38	53.62	46.38
Inowrocław	63.61	51.39	48.61
Strzelno	59.07	55.41	44.59
Zakrzew	64.87	85.92	14.08
Tomaszów Lubelski	65.61	59.00	41.00
Susiec	62.83	75.14	24.86
Hańsk	58.52	67.25	32.75
Gubin	62.74	30.06	69.94
Nowa Sól	66.82	40.44	59.56
Kożuchów	61.65	45.73	54.27
Pabianice	68.76	44.91	55.09
Działoszyn	67.89	63.91	36.09
Gidle	63.62	66.16	33.84
Ostrówek	65.54	71.76	28.24
Lipnica Murowana	73.31	82.09	17.91
Kęty	70.65	57.05	42.95
Osiek	69.63	67.29	32.71
Nowe Brzesko	66.69	75.28	24.72
Ciechanów	68.86	54.29	45.71
Gostynin	66.93	52.07	47.93
Ciepielów	62.94	78.35	21.65
Leoncin	72.75	65.86	34.14
Drobin	58.38	75.30	24.70
Wiśniew	75.42	85.82	14.18
Czermin	65.78	81.55	18.45
Tryńcza	67.86	86.88	13.12
Szepietowo	67.47	78.63	21.37
Wysokie Mazowieckie	68.28	84.71	15.29
Kolbudy	73.73	31.65	68.35
Kwidzyn	59.16	52.68	47.32
Nowy Dwór Gdański	60.65	41.71	58.29
Kępice	54.42	42.56	57.44
Będzin	66.64	39.66	60.34
Wojkowice	68.05	37.15	62.85
Psary	70.52	38.66	61.34
Zawiercie	66.57	48.55	51.45
Sosnowiec	66.55	40.84	59.16
Pierzchnica	66.42	77.78	22.22
Złota	61.85	73.83	26.17
Staszów	63.44	65.81	34.19
Giżycko	67.29	35.56	64.44
Barciany	49.82	59.05	40.95
Kiszkowo	65.33	53.72	46.28
Murowana Goślina	72.90	34.21	65.79
Września	69.92	46.52	53.48
Kozielice	58.59	68.33	31.67
Koszalin	70.06	35.25	64.75
Gromadka	60.60	62.87	37.13
Głogów	66.24	49.49	50.51
Mściwojów	61.90	56.38	43.62
Świdnica	68.40	40.01	59.99
Międzyrzec Podlaski	66.31	66.65	33.35
Chełm	62.25	65.65	34.35
Uchanie	62.15	84.01	15.99
Skierbieszów	64.44	81.76	18.24
Świebodzin	64.84	40.31	59.69
Dąbrowice	66.56	76.57	23.43
Kiernozia	66.69	76.35	23.65
Kobiele Wielkie	66.76	67.51	32.49
Nowy Kawęczyn	69.30	71.02	28.98
Łubnice	63.14	66.67	33.33
Zduńska Wola	68.74	64.58	35.42
Ozorków	72.60	63.66	36.34
Iwanowice	71.75	69.99	30.01
Tymbark	73.45	81.36	18.64
Ochotnica Dolna	73.47	82.22	17.78
Szaflary	57.97	83.19	16.81
Dzierzgowo	63.52	79.52	20.48
Gąbin	66.78	68.43	31.57
Sochaczew	69.81	50.03	49.97
Mszczonów	69.89	64.04	35.96
Baborów	56.73	61.66	38.34
Ozimek	53.77	43.07	56.93
Kolonowskie	49.21	44.44	55.56
Haczów	68.32	80.54	19.46
Jodłowa	64.02	87.20	12.80
Dzikowiec	58.11	84.90	15.10
Krzywcza	63.93	86.72	13.28
Zaleszany	64.64	75.59	24.41
Boćki	61.88	74.34	25.66
Miastko	56.74	44.08	55.92
Główczyce	51.70	51.57	48.43
Lubichowo	65.83	54.94	45.06
Mierzęcice	68.40	48.50	51.50
Pilchowice	66.32	49.18	50.82
Koszęcin	65.13	61.28	38.72
Nędza	55.10	54.19	45.81
Dąbrowa Górnicza	68.04	41.35	58.65
Ruda Maleniecka	72.23	71.28	28.72
Tarłów	59.83	79.81	20.19
Koprzywnica	66.57	73.73	26.27
Braniewo	59.85	41.77	58.23
Godkowo	53.15	64.61	35.39
Mrągowo	65.26	41.69	58.31
Koło	65.74	52.57	47.43
Krzymów	68.83	72.48	27.52
Wysoka	59.77	60.20	39.80
Kalisz	69.73	41.01	58.99
Stepnica	54.39	43.11	56.89
Duszniki-Zdrój	66.56	40.64	59.36
Bystrzyca Kłodzka	62.72	51.45	48.55
Prochowice	62.75	56.48	43.52
Siekierczyn	63.84	47.93	52.07
Polkowice	65.28	57.24	42.76
Wisznia Mała	74.91	48.20	51.80
Koronowo	64.50	46.92	53.08
Radomin	62.88	72.75	27.25
Złotniki Kujawskie	61.78	53.42	46.58
Dobrzyń nad Wisłą	58.86	66.39	33.61
Świecie	64.11	42.79	57.21
Ryńsk	57.93	58.31	41.69
Horodło	55.12	74.46	25.54
Puchaczów	69.54	76.02	23.98
Krzywda	65.58	82.23	17.77
Tomaszów Lubelski	62.65	77.03	22.97
Sława	64.58	47.39	52.61
Łyszkowice	68.29	76.69	23.31
Sławno	71.53	81.77	18.23
Rzezawa	68.50	76.90	23.10
Igołomia-Wawrzeńczyce	64.57	73.75	26.25
Jodłownik	69.66	83.13	16.87
Chełmiec	72.77	79.03	20.97
Nowy Targ	61.99	76.63	23.37
Serock	73.55	46.96	53.04
Solec nad Wisłą	61.57	70.52	29.48
Brwinów	78.93	40.62	59.38
Krzynowłoga Mała	69.10	85.83	14.17
Borkowice	67.77	74.01	25.99
Iłża	62.30	71.18	28.82
Korczew	65.71	72.82	27.18
Kotuń	68.68	74.74	25.26
Skórzec	71.94	84.67	15.33
Bemowo	79.18	29.77	70.23
Strzeleczki	50.37	48.18	51.82
Wadowice Górne	65.73	85.32	14.68
Sokółka	60.05	61.27	38.73
Łomża	63.85	60.71	39.29
Przechlewo	62.63	47.45	52.55
Cedry Wielkie	62.04	44.76	55.24
Suchy Dąb	59.61	46.42	53.58
Wicko	60.74	41.03	58.97
Hel	77.70	30.88	69.12
Słupsk	66.86	37.83	62.17
Ustroń	70.06	37.88	62.12
Popów	65.39	61.62	38.38
Ciasna	50.45	56.26	43.74
Łazy	67.65	50.31	49.69
Pińczów	62.68	64.48	35.52
Moskorzew	65.98	76.08	23.92
Braniewo	50.89	53.58	46.42
Lubawa	66.68	54.34	45.66
Szczytno	66.06	47.25	52.75
Witkowo	69.36	52.52	47.48
Krzywiń	64.67	65.16	34.84
Ostrów Wielkopolski	69.05	39.18	60.82
Tarnowo Podgórne	79.81	28.49	71.51
Jastrowie	56.67	44.73	55.27
Cedynia	56.37	45.04	54.96
Strzelin	67.48	49.37	50.63
Głuszyca	59.96	40.80	59.20
Radziejów	65.12	54.08	45.92
Grudziądz	63.77	41.70	58.30
Ruda-Huta	56.19	71.18	28.82
Krasnystaw	60.75	71.04	28.96
Szastarka	67.78	86.15	13.85
Urszulin	72.54	70.85	29.15
Cybinka	58.13	48.10	51.90
Drezdenko	62.08	46.62	53.38
Gorzów Wielkopolski	67.35	36.87	63.13
Kutno	67.53	52.26	47.74
Żychlin	60.45	60.57	39.43
Poświętne	74.12	78.70	21.30
Ksawerów	73.19	44.93	55.07
Gorzkowice	69.01	75.78	24.22
Wierzchlas	67.35	66.26	33.74
Nowy Wiśnicz	74.96	76.42	23.58
Trzebinia	68.01	48.68	51.32
Dąbrowa Tarnowska	63.24	75.71	24.29
Olesno	62.21	82.27	17.73
Rytro	71.93	77.78	22.22
Rabka-Zdrój	68.43	66.80	33.20
Skrzyszów	67.53	74.72	25.28
Kalwaria Zebrzydowska	68.88	61.67	38.33
Warka	71.68	61.42	38.58
Stanisławów	72.03	75.89	24.11
Bodzanów	63.97	69.88	30.12
Pułtusk	67.65	57.33	42.67
Gózd	73.34	82.44	17.56
Przytyk	73.71	85.51	14.49
Teresin	70.96	60.16	39.84
Łochów	70.70	69.74	30.26
Tczów	69.92	84.23	15.77
Wilanów	84.86	22.04	77.96
Dobrzeń Wielki	55.56	29.70	70.30
Komańcza	54.07	53.84	46.16
Krynki	58.72	56.09	43.91
Rzeczenica	60.67	53.42	46.58
Kościerzyna	68.43	44.36	55.64
Smętowo Graniczne	60.28	63.76	36.24
Zblewo	64.62	60.44	39.56
Mikołajki Pomorskie	55.72	62.31	37.69
Brenna	70.58	53.80	46.20
Dąbrowa Zielona	64.76	67.50	32.50
Koziegłowy	65.76	62.57	37.43
Godów	69.64	63.85	36.15
Pacanów	62.04	76.39	23.61
Wiślica	61.26	74.31	25.69
Skalbmierz	62.62	79.98	20.02
Mniów	69.02	81.02	18.98
Obrazów	62.07	71.16	28.84
Bogoria	66.07	78.66	21.34
Rytwiany	63.85	74.79	25.21
Rychliki	51.56	55.53	44.47
Czarnków	63.72	49.53	50.47
Pogorzela	59.47	61.93	38.07
Grodzisk Wielkopolski	66.68	46.70	53.30
Opalenica	69.53	47.25	52.75
Oborniki	68.77	39.50	60.50
Pniewy	66.92	46.24	53.76
Wągrowiec	69.18	39.13	60.87
Czaplinek	60.65	42.65	57.35
Widuchowa	56.95	54.92	45.08
Nowa Ruda	58.61	42.59	57.41
Lubomierz	57.40	49.89	50.11
Żmigród	62.96	53.08	46.92
Bardo	62.28	50.19	49.81
Bobrowo	61.51	62.96	37.04
Golub-Dobrzyń	60.41	61.18	38.82
Szubin	63.48	45.56	54.44
Werbkowice	58.90	77.55	22.45
Michów	62.28	79.99	20.01
Milejów	62.05	74.65	25.35
Dęblin	68.29	58.65	41.35
Zamość	64.75	56.54	43.46
Żarnów	70.98	77.14	22.86
Wola Krzysztoporska	71.74	77.88	22.12
Rawa Mazowiecka	68.52	74.09	25.91
Ujazd	70.34	65.63	34.37
Parzęczew	71.12	58.13	41.87
Kocmyrzów-Luborzyca	70.97	60.93	39.07
Ryglice	64.14	79.51	20.49
Wadowice	69.03	57.04	42.96
Grabów nad Pilicą	75.67	77.94	22.06
Bulkowo	67.33	79.68	20.32
Sochocin	67.09	67.28	32.72
Płock	69.16	48.14	51.86
Kluczbork	60.82	44.92	55.08
Strzelce Opolskie	57.60	42.39	57.61
Ujazd	55.04	55.68	44.32
Ustrzyki Dolne	59.57	56.92	43.08
Harasiuki	60.65	83.58	16.42
Michałowo	57.22	48.68	51.32
Poświętne	68.80	86.89	13.11
Chojnice	67.57	49.35	50.65
Stary Targ	49.74	55.36	44.64
Koniecpol	63.88	68.45	31.55
Rędziny	67.03	56.91	43.09
Świerklaniec	68.90	47.74	52.26
Łagów	65.78	83.25	16.75
Samborzec	64.89	70.06	29.94
Godziesze Wielkie	67.66	65.70	34.30
Babiak	65.71	74.99	25.01
Rychwał	66.91	74.76	25.24
Wijewo	67.70	49.74	50.26
Rogoźno	66.15	43.45	56.55
Piła	69.50	35.65	64.35
Gołańcz	60.86	57.22	42.78
Szczecinek	64.92	42.51	57.49
Bolesławiec	64.85	50.52	49.48
Zawonia	63.30	55.48	44.52
Sulików	60.78	58.82	41.18
Węgliniec	59.16	49.60	50.40
Bartniczka	61.90	70.46	29.54
Łysomice	67.04	43.18	56.82
Toruń	70.91	36.89	63.11
Ludwin	67.17	70.20	29.80
Stoczek Łukowski	73.61	66.24	33.76
Karczmiska	60.56	73.35	26.65
Świdnik	69.18	58.05	41.95
Siedlisko	58.52	58.84	41.16
Dobiegniew	61.22	48.70	51.30
Lubniewice	64.36	41.09	58.91
Krośniewice	64.08	70.51	29.49
Kutno	67.74	66.52	33.48
Ręczno	69.42	73.17	26.83
Czerniewice	73.24	77.72	22.28
Zgierz	70.40	44.98	55.02
Grybów	76.07	86.63	13.37
Chełmek	68.94	55.12	44.88
Ciężkowice	64.22	75.32	24.68
Poronin	70.00	69.15	30.85
Latowicz	67.61	79.01	20.99
Karczew	74.12	59.31	40.69
Pruszków	71.87	40.72	59.28
Suchożebry	70.00	81.18	18.82
Ostrołęka	66.57	58.37	41.63
Skarbimierz	69.37	56.59	43.41
Głubczyce	63.71	59.50	40.50
Namysłów	66.11	53.20	46.80
Łambinowice	59.03	60.53	39.47
Dębica	67.58	76.57	23.43
Radymno	63.77	84.36	15.64
Nowy Żmigród	67.00	83.17	16.83
Skołyszyn	67.12	79.26	20.74
Chorkówka	66.30	77.14	22.86
Korczyna	67.84	74.98	25.02
Mielec	67.55	72.66	27.34
Przeworsk	68.24	83.70	16.30
Sieniawa	63.40	74.67	25.33
Sanok	63.08	56.00	44.00
Baranów Sandomierski	64.42	77.79	22.21
Piątnica	59.59	77.08	22.92
Suwałki	63.76	53.24	46.76
Tuchomie	59.79	55.60	44.40
Karsin	73.45	52.45	47.55
Osiek	69.49	50.63	49.37
Choczewo	75.18	33.81	66.19
Mikołów	71.23	42.67	57.33
Miasteczko Śląskie	64.95	61.41	38.59
Wodzisław Śląski	66.53	54.71	45.29
Jastrzębie-Zdrój	65.50	60.63	39.37
Imielno	67.29	77.78	22.22
Czempiń	64.40	47.69	52.31
Rydzyna	68.59	46.92	53.08
Puszczykowo	78.32	31.12	68.88
Krzykosy	65.70	59.54	40.46
Białogard	53.42	53.06	46.94
Osina	58.95	54.26	45.74
Płoty	56.19	52.18	47.82
Stargard	68.66	40.11	59.89
Stara Dąbrowa	59.48	60.92	39.08
Łagiewniki	64.77	62.18	37.82
Jawor	63.74	51.83	48.17
Piechowice	66.40	36.69	63.31
Krotoszyce	67.02	63.93	36.07
Oleśnica	67.63	42.93	57.07
Oborniki Śląskie	72.00	45.34	54.66
Wołów	63.74	52.50	47.50
Ciechocin	64.51	66.88	33.12
Dąbrowa	60.65	57.33	42.67
Warlubie	56.57	58.75	41.25
Wielka Nieszawka	71.20	38.87	61.13
Łabiszyn	62.17	52.34	47.66
Bydgoszcz	70.15	37.18	62.82
Sławatycze	62.04	63.92	36.08
Siemień	62.10	77.27	22.73
Strzelce Wielkie	66.55	79.85	20.15
Wróblew	67.32	75.61	24.39
Tomaszów Mazowiecki	68.35	52.42	47.58
Głowno	67.64	46.39	53.61
Tuchów	66.64	77.27	22.73
Żelechów	73.13	80.35	19.65
Różan	71.01	63.97	36.03
Nowy Dwór Mazowiecki	70.28	44.55	55.45
Goworowo	64.85	79.18	20.82
Radziejowice	75.50	54.20	45.80
Majdan Królewski	62.82	86.03	13.97
Fredropol	60.94	75.32	24.68
Zarzecze	68.78	82.54	17.46
Wiśniowa	66.14	81.22	18.78
Czyże	50.44	35.97	64.03
Nowa Karczma	67.18	59.73	40.27
Kwidzyn	65.00	40.73	59.27
Ostaszewo	59.63	49.00	51.00
Potęgowo	54.40	50.27	49.73
Dzierzgoń	56.45	50.39	49.61
Cieszyn	67.90	38.83	61.17
Kochanowice	57.57	62.89	37.11
Solec-Zdrój	69.35	70.14	29.86
Szydłów	65.34	75.68	24.32
Wilczyn	66.26	71.63	28.37
Chrzypsko Wielkie	61.56	54.22	45.78
Miejska Górka	61.03	61.46	38.54
Turek	66.56	52.03	47.97
Krajenka	63.84	47.49	52.51
Goleniów	66.59	40.40	59.60
Mysłakowice	65.01	40.30	59.70
Lubawka	63.37	44.88	55.12
Kondratowice	63.93	63.81	36.19
Mieroszów	60.07	43.89	56.11
Siechnice	72.04	38.03	61.97
Aleksandrów Kujawski	62.86	45.54	54.46
Sicienko	66.97	43.94	56.06
Dubienka	60.58	64.20	35.80
Rejowiec Fabryczny	59.66	80.36	19.64
Niedźwiada	67.20	81.62	18.38
Gubin	59.79	45.09	54.91
Stare Kurowo	57.46	47.89	52.11
Brody	55.84	43.31	56.69
Zielona Góra	72.27	31.07	68.93
Mniszków	68.42	80.65	19.35
Inowłódz	78.75	59.20	40.80
Wieruszów	67.06	54.22	45.78
Zapolice	67.30	65.23	34.77
Ozorków	67.23	53.24	46.76
Zgierz	73.57	49.45	50.55
Biecz	64.59	76.54	23.46
Podegrodzie	73.54	85.11	14.89
Wyśmierzyce	75.55	80.65	19.35
Regimin	66.91	72.36	27.64
Sobolew	73.21	81.50	18.50
Magnuszew	72.79	74.69	25.31
Piaseczno	78.63	35.63	64.37
Wolanów	71.03	79.09	20.91
Chrząstowice	56.22	34.23	65.77
Chłopice	64.50	86.21	13.79
Pawłosiów	66.89	75.66	24.34
Białobrzegi	67.53	81.04	18.96
Krzeszów	59.30	82.97	17.03
Siemiatycze	56.04	59.88	40.12
Sokoły	68.89	86.35	13.65
Bytów	66.27	46.01	53.99
Liniewo	66.22	61.41	38.59
Nowy Staw	55.44	46.55	53.45
Sztutowo	75.46	34.49	65.51
Sopot	77.59	27.84	72.16
Lyski	67.04	56.56	43.44
Żarnowiec	70.79	78.68	21.32
Częstochowa	69.30	44.37	55.63
Jaworzno	66.12	46.87	53.13
Bieliny	69.18	81.69	18.31
Chęciny	67.33	69.36	30.64
Stąporków	62.01	64.72	35.28
Iwaniska	65.59	82.75	17.25
Ćmielów	57.78	65.98	34.02
Oleśnica	59.84	76.03	23.97
Kielce	70.81	47.66	52.34
Grodziczno	64.72	76.63	23.37
Dźwierzuty	57.10	54.36	45.64
Kościelec	68.52	71.89	28.11
Kramsk	67.85	69.43	30.57
Kościan	71.21	38.49	61.51
Koźmin Wielkopolski	63.13	57.86	42.14
Komorniki	79.88	25.30	74.70
Szamotuły	70.01	38.43	61.57
Przybiernów	58.49	53.99	46.01
Nowogrodziec	57.96	60.91	39.09
Chojnów	64.25	62.37	37.63
Lubań	60.74	49.67	50.33
Przemków	59.18	62.85	37.15
Bądkowo	63.26	64.08	35.92
Solec Kujawski	67.88	38.66	61.34
Gostycyn	59.30	59.99	40.01
Płużnica	57.81	56.82	43.18
Żółkiewka	58.19	81.72	18.28
Dębowa Kłoda	60.75	69.52	30.48
Kazimierz Dolny	69.44	58.10	41.90
Ryki	69.95	67.74	32.26
Adamów	64.81	78.33	21.67
Zbąszynek	67.56	37.39	62.61
Jasień	58.03	42.65	57.35
Kluki	70.05	76.33	23.67
Łódź	70.29	36.17	63.83
Mszana Dolna	69.58	67.32	32.68
Zakliczyn	67.74	77.45	22.55
Garwolin	75.35	71.76	28.24
Pomiechówek	73.67	53.31	46.69
Ostrów Mazowiecka	66.25	75.30	24.70
Ceranów	69.57	82.43	17.57
Zabrodzie	72.82	73.29	26.71
Targówek	74.64	40.05	59.95
Kuryłówka	63.32	84.32	15.68
Rudnik nad Sanem	59.40	69.64	30.36
Sanok	64.37	76.98	23.02
Pysznica	61.63	72.29	27.71
Kleszczele	54.97	47.70	52.30
Tczew	65.88	46.87	53.13
Linia	69.86	69.85	30.15
Szemud	72.00	49.69	50.31
Gdańsk	74.93	29.82	70.18
Sławków	69.87	50.08	49.92
Poczesna	69.81	49.86	50.14
Czerwionka-Leszczyny	65.53	60.54	39.46
Tarnowskie Góry	68.07	43.54	56.46
Końskie	68.82	61.34	38.66
Starachowice	65.09	51.54	48.46
Iława	62.38	52.46	47.54
Ruciane-Nida	71.00	40.51	59.49
Chodzież	67.13	39.86	60.14
Krotoszyn	66.04	52.35	47.65
Nowe Skalmierzyce	65.58	56.23	43.77
Książ Wielkopolski	60.66	59.79	40.21
Białogard	63.46	40.66	59.34
Moryń	59.49	48.83	51.17
Boleszkowice	57.22	41.09	58.91
Lipiany	57.03	54.93	45.07
Gryfów Śląski	59.69	46.70	53.30
Dziadowa Kłoda	64.08	54.15	45.85
Grębocice	65.05	65.01	34.99
Kostomłoty	64.60	62.43	37.57
Nowa Wieś Wielka	66.81	39.82	60.18
Kowalewo Pomorskie	63.62	56.39	43.61
Chełmża	58.92	58.41	41.59
Rudnik	59.94	78.62	21.38
Bychawa	65.80	75.20	24.80
Opoczno	72.96	68.47	31.53
Gomunice	70.18	67.46	32.54
Regnów	77.86	80.57	19.43
Konopnica	70.36	67.96	32.04
Gorlice	64.76	56.23	43.77
Łużna	66.29	77.58	22.42
Michałowice	75.36	52.20	47.80
Maków Podhalański	68.15	68.03	31.97
Spytkowice	68.56	70.56	29.44
Grodzisk Mazowiecki	75.35	43.39	56.61
Strzegowo	63.78	74.45	25.55
Tarczyn	73.18	59.63	40.37
Gzy	65.72	77.14	22.86
Iłów	69.26	74.54	25.46
Błonie	72.51	49.27	50.73
Marki	73.48	47.42	52.58
Śródmieście	73.44	31.64	68.36
Krapkowice	55.93	41.04	58.96
Jasło	65.66	62.17	37.83
Rymanów	68.05	74.38	25.62
Przecław	67.77	82.25	17.75
Jeżowe	68.08	91.42	8.58
Kańczuga	61.93	73.35	26.65
Zarszyn	62.32	70.52	29.48
Turośń Kościelna	72.39	63.23	36.77
Jeleniewo	67.80	64.08	35.92
Ciechanowiec	63.05	75.25	24.75
Rutki	65.09	81.43	18.57
Kobylnica	64.61	38.90	61.10
Wilamowice	73.20	60.21	39.79
Jejkowice	71.17	63.16	36.84
Nagłowice	66.80	79.54	20.46
Radoszyce	65.43	81.48	18.52
Brody	65.28	69.71	30.29
Nidzica	62.01	52.25	47.75
Węgorzewo	64.02	39.11	60.89
Kołaczkowo	64.09	66.90	33.10
Mieszkowice	61.47	47.14	52.86
Sławoborze	53.08	45.87	54.13
Szczecin	70.43	36.32	63.68
Oława	69.78	54.35	45.65
Wałbrzych	61.63	39.64	60.36
Aleksandrów Kujawski	61.75	58.65	41.35
Raciążek	68.11	58.90	41.10
Górzno	65.28	65.73	34.27
Jeżewo	60.77	57.57	42.43
Tuchola	64.87	52.45	47.55
Łomazy	63.35	74.84	25.16
Fajsławice	67.68	79.06	20.94
Siennica Różana	57.30	61.53	38.47
Santok	65.05	41.09	58.91
Rzepin	63.19	42.73	57.27
Nowogród Bobrzański	62.57	41.92	58.08
Żagań	58.32	47.56	52.44
Zadzim	66.59	69.76	30.24
Dobryszyce	67.77	67.06	32.94
Błaszki	66.88	75.54	24.46
Zduńska Wola	68.23	53.20	46.80
Brzeziny	72.25	62.80	37.20
Skierniewice	71.91	48.55	51.45
Słopnice	72.55	87.11	12.89
Miechów	65.65	63.64	36.36
Lubień	72.18	79.77	20.23
Sułkowice	69.66	70.02	29.98
Sienno	63.45	76.13	23.87
Mrozy	70.85	65.61	34.39
Łąck	70.56	60.60	39.40
Kampinos	73.79	59.88	40.12
Radom	69.53	55.41	44.59
Białołęka	79.78	30.68	69.32
Mokotów	76.70	28.71	71.29
Ursynów	82.29	26.59	73.41
Wawer	80.13	38.07	61.93
Lubsza	63.19	58.33	41.67
Laszki	62.11	84.93	15.07
Ulanów	59.45	80.26	19.74
Bojanów	62.58	84.66	15.34
Baligród	66.07	66.87	33.13
Krosno	67.42	54.99	45.01
Pruszcz Gdański	72.60	32.40	67.60
Starogard Gdański	68.56	53.88	46.12
Morzeszczyn	54.77	62.79	37.21
Pelplin	60.70	56.61	43.39
Skoczów	67.34	50.32	49.68
Konopiska	66.14	50.86	49.14
Kłobuck	68.27	49.40	50.60
Niegowa	73.50	78.79	21.21
Krzanowice	48.62	52.07	47.93
Radlin	65.08	53.81	46.19
Poręba	65.37	45.04	54.96
Lubomino	53.95	58.46	41.54
Olecko	59.48	51.80	48.20
Rozogi	55.26	74.15	25.85
Olsztyn	70.67	35.92	64.08
Czarnków	69.20	36.64	63.36
Miasteczko Krajeńskie	59.22	47.35	52.65
Pobiedziska	73.29	37.52	62.48
Strzałkowo	65.95	59.24	40.76
Kaźmierz	67.83	39.25	60.75
Biały Bór	58.30	49.30	50.70
Kłodzko	64.30	42.96	57.04
Krośnice	63.31	59.42	40.58
Strzegom	63.17	53.27	46.73
Chełmno	63.73	39.86	60.14
Grudziądz	62.71	46.65	53.35
Wielgie	57.12	60.67	39.33
Lubiewo	65.10	61.75	38.25
Choceń	56.77	60.81	39.19
Wojciechów	68.01	74.54	25.46
Międzyrzecz	65.52	37.87	62.13
Zwierzyn	56.87	50.00	50.00
Dobroń	72.24	52.48	47.52
Lgota Wielka	68.25	73.56	26.44
Rawa Mazowiecka	71.15	56.54	43.46
Wieluń	68.08	51.84	48.16
Bolesławiec	62.91	63.11	36.89
Sękowa	64.84	63.33	36.67
Muszyna	67.57	66.27	33.73
Klucze	70.21	52.73	47.27
Olkusz	72.27	56.34	43.66
Wolbrom	70.08	67.10	32.90
Lanckorona	68.69	66.56	33.44
Tarnów	66.17	51.33	48.67
Borowie	71.11	81.43	18.57
Platerów	64.27	76.94	23.06
Zakroczym	64.80	61.30	38.70
Kadzidło	61.64	76.67	23.33
Rzekuń	71.01	66.70	33.30
Słupno	74.40	45.44	54.56
Staroźreby	61.86	75.73	24.27
Raszyn	75.93	49.08	50.92
Przasnysz	65.81	79.55	20.45
Radzymin	75.18	59.74	40.26
Rząśnik	73.47	79.16	20.84
Kuczbork-Osada	64.71	66.16	33.84
Horyniec-Zdrój	62.03	71.36	28.64
Dynów	67.58	74.36	25.64
Krypno	57.70	74.72	25.28
Pruszcz Gdański	72.78	31.69	68.31
Wisła	65.78	26.45	73.55
Pawonków	54.83	62.30	37.70
Poraj	68.05	46.73	53.27
Gorzyce	65.67	60.60	39.40
Rybnik	66.82	51.79	48.21
Morawica	68.30	62.38	37.62
Górowo Iławeckie	58.56	44.63	55.37
Pisz	60.06	56.80	43.20
Piaski	62.69	59.44	40.56
Baranów	67.62	56.07	43.93
Stare Miasto	71.82	59.37	40.63
Kostrzyn	68.12	44.33	55.67
Miłosław	67.32	56.98	43.02
Poznań	75.43	28.06	71.94
Chojna	61.23	48.86	51.14
Golczewo	59.98	51.00	49.00
Połczyn-Zdrój	60.59	49.33	50.67
Bielawa	60.83	47.16	52.84
Chojnów	61.78	51.16	48.84
Rokitno	62.26	72.93	27.07
Wisznice	63.52	67.63	32.37
Wysokie	65.57	81.87	18.13
Łuków	70.09	81.78	18.22
Stoczek Łukowski	70.19	85.48	14.52
Sulęcin	63.41	48.41	51.59
Niegosławice	59.84	53.63	46.37
Daszyna	61.46	74.71	25.29
Kodrąb	66.25	71.63	28.37
Aleksandrów Łódzki	73.35	41.33	58.67
Drwinia	71.67	81.08	18.92
Niedźwiedź	62.87	82.23	17.77
Raciechowice	69.00	75.01	24.99
Sońsk	66.43	74.54	25.46
Maciejowice	74.39	81.33	18.67
Sanniki	67.19	77.59	22.41
Łyse	59.67	78.30	21.70
Raciąż	62.07	81.56	18.44
Jedlnia-Letnisko	72.80	68.87	31.13
Żyrardów	71.68	48.35	51.65
Siedlce	71.13	58.00	42.00
Wola	74.62	32.80	67.20
Wołczyn	60.29	59.55	40.45
Gogolin	50.94	40.55	59.45
Zawadzkie	50.12	56.53	43.47
Żurawica	64.80	74.81	25.19
Sędziszów Małopolski	70.84	80.86	19.14
Sokołów Małopolski	67.88	86.21	13.79
Przemyśl	62.11	55.16	44.84
Narewka	57.80	37.45	62.55
Kolno	61.47	83.17	16.83
Miastkowo	61.54	84.88	15.12
Mońki	55.77	65.54	34.46
Tczew	66.77	44.34	55.66
Gniew	58.28	56.22	43.78
Wejherowo	68.76	41.57	58.43
Gdynia	75.04	29.94	70.06
Goczałkowice-Zdrój	71.45	51.58	48.42
Katowice	69.24	38.47	61.53
Suchedniów	66.74	54.35	45.65
Nowe Miasto Lubawskie	61.66	64.34	35.66
Elbląg	64.85	42.63	57.37
Śmigiel	65.19	55.37	44.63
Osieczna	65.68	51.16	48.84
Luboń	76.44	31.62	68.38
Stęszew	69.96	41.46	58.54
Obrzycko	61.68	47.61	52.39
Zakrzewo	61.09	53.67	46.33
Kołbaskowo	71.17	31.09	68.91
Świnoujście	70.65	34.08	65.92
Oława	69.83	43.87	56.13
Dobromierz	60.60	59.98	40.02
