Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Narew	51.90	43.84	56.16
Lwówek	61.43	50.88	49.12
Polanów	55.81	48.68	51.32
Człopa	59.02	51.50	48.50
Golub-Dobrzyń	62.16	52.12	47.88
Jeziora Wielkie	62.46	62.64	37.36
Bytoń	66.08	74.03	25.97
Lubraniec	62.81	62.31	37.69
Włocławek	65.84	50.48	49.52
Piszczac	53.00	75.25	24.75
Nowodwór	70.13	83.92	16.08
Bogdaniec	65.50	44.70	55.30
Świdnica	72.17	33.30	66.70
Galewice	63.98	66.86	33.14
Uście Gorlickie	66.82	58.62	41.38
Lipowiec Kościelny	64.65	73.36	26.64
Ostrów Mazowiecka	65.14	57.58	42.42
Sierpc	62.34	71.73	28.27
Domaszowice	67.53	59.20	40.80
Wojaszówka	64.12	73.55	26.45
Stubno	56.12	77.48	22.52
Michałów	63.77	72.30	27.70
Włoszakowice	68.91	46.52	53.48
Ińsko	59.73	47.84	52.16
Karpacz	74.92	27.96	72.04
Kunice	71.13	46.45	53.55
Czernikowo	58.58	57.45	42.55
Szczebrzeszyn	60.35	75.28	24.72
Zwierzyniec	64.49	58.70	41.30
Lubsko	58.31	39.12	60.88
Łaskarzew	74.49	79.49	20.51
Grójec	71.26	49.94	50.06
Murów	47.36	42.61	57.39
Biała	49.08	52.15	47.85
Nozdrzec	63.23	82.03	17.97
Osiek Jasielski	65.84	86.92	13.08
Kamienica Polska	69.07	48.07	51.93
Rudnik	51.27	61.29	38.71
Stopnica	63.74	75.00	25.00
Waśniów	61.04	82.58	17.42
Dwikozy	58.08	64.91	35.09
Zawichost	61.84	68.31	31.69
Pieniężno	55.17	59.88	40.12
Ostrów Wielkopolski	67.16	59.36	40.64
Radowo Małe	54.36	48.96	51.04
Warta Bolesławiecka	59.70	57.64	42.36
Pieńsk	56.52	49.94	50.06
Sadki	60.79	56.70	43.30
Rogowo	60.88	70.48	29.52
Rejowiec Fabryczny	58.12	64.45	35.55
Siedliszcze	56.14	79.48	20.52
Adamów	65.68	76.18	23.82
Ośno Lubuskie	62.21	41.40	58.60
Słubice	67.13	31.00	69.00
Babimost	65.77	41.51	58.49
Kocierzew Południowy	68.15	82.76	17.24
Warta	66.31	71.61	28.39
Wieprz	71.59	69.88	30.12
Leszno	69.71	48.99	51.01
Brzozów	64.83	79.37	20.63
Oleszyce	63.59	77.33	22.67
Tuszów Narodowy	71.31	80.30	19.70
Adamówka	61.13	80.42	19.58
Stare Pole	56.66	43.03	56.97
Ustka	71.96	38.65	61.35
Borek Wielkopolski	61.72	60.78	39.22
Rychtal	61.45	61.65	38.35
Brudzew	68.54	76.98	23.02
Chociwel	63.57	50.26	49.74
Jeżów Sudecki	67.18	35.01	64.99
